;;;Gurobi;;;;;Hexaly;;;;;;MAB;;;;;BVNS;;;;
Group;Instance;Vmin;Error;TTB;Cpu T.;Optimal;Desv;Error;TTB;Cpu T. Parl;Optimal;Feasible/opt;Desv;Error;TTB;Cpu T.;Optimal;Desv;Error;TTB;Cpu T.;Optimal;Desv
big;interval_102_230x5304_20_80;7;;;;;-87,50%;66;543;600;FALSE;HxSolutionStatus.FEASIBLE;737,50%;47;452;606,055;FALSE;500,00%;7,002;274;600;FALSE;0,00%
big;interval_106_230x22043_80_20;0;;;;;0,00%;1787;552;600;FALSE;HxSolutionStatus.FEASIBLE;178700,00%;495;5266;5273,176;FALSE;49500,00%;0,23;0;0;TRUE;0,00%
big;interval_108_230x21241_80_80;0;;;;;0,00%;1697;596;600;FALSE;HxSolutionStatus.FEASIBLE;169700,00%;1469;607;607,609;FALSE;146900,00%;0,23;0;0;TRUE;0,00%
big;interval_115_250x26281_80_20;0;;;;;0,00%;2113;586;600;FALSE;HxSolutionStatus.FEASIBLE;211300,00%;803;621;628,444;FALSE;80300,00%;0,25;4;4;TRUE;0,00%
big;interval_117_250x25193_80_80;0;;;;;0,00%;2099;525;600;FALSE;HxSolutionStatus.FEASIBLE;209900,00%;1165;614;615,284;FALSE;116500,00%;0,25;1;1;TRUE;0,00%
big;random_084_190x3591_20_80;45;;;;;-97,83%;51;564;600;FALSE;HxSolutionStatus.FEASIBLE;13,04%;75;309;614,867;FALSE;65,22%;45,006;132;600;FALSE;0,00%
big;random_108_230x21068_80_80;1283;;;;;-99,92%;1538;595;600;FALSE;HxSolutionStatus.FEASIBLE;19,86%;1579;859;859,57;FALSE;23,05%;1283,006;557;600;FALSE;0,00%
big;random_115_250x24900_80_20;1553;;;;;-99,94%;1857;590;600;FALSE;HxSolutionStatus.FEASIBLE;19,56%;1813;601;610,182;FALSE;16,73%;1553,005;599;600;FALSE;0,00%
big;random_117_250x24900_80_80;1514;;;;;-99,93%;1823;549;600;FALSE;HxSolutionStatus.FEASIBLE;20,40%;1812;741;742,27;FALSE;19,67%;1514,001;599;600;FALSE;0,00%
huge;124-Randomized_edges-0.25-bcsstk19.hwb;3;;;;;-75,00%;6;8;600;FALSE;HxSolutionStatus.FEASIBLE;75,00%;9;346;635,968;FALSE;150,00%;3,008;443;600;FALSE;0,00%
huge;149-Randomized_edges-0.25-dwt__758.hwb;2;;;;;-66,67%;4;196;600;FALSE;HxSolutionStatus.FEASIBLE;66,67%;6;539;605,249;FALSE;133,33%;2,016;573;600;FALSE;0,00%
huge;150-Randomized_edges-0.25-dwt__878.hwb;2;;;;;-66,67%;4;313;600;FALSE;HxSolutionStatus.FEASIBLE;66,67%;8;82;621,15;FALSE;200,00%;2,061;588;600;FALSE;0,00%
huge;151-Randomized_edges-0.25-dwt__918.hwb;2;;;;;-66,67%;6;2;600;FALSE;HxSolutionStatus.FEASIBLE;133,33%;9;94;676,65;FALSE;233,33%;2,014;563;600;FALSE;0,00%
huge;161-Randomized_edges-0.25-gr_30_30.hwb;3;;;;;-75,00%;4;474;600;FALSE;HxSolutionStatus.FEASIBLE;25,00%;7;87;670,215;FALSE;100,00%;3,002;150;600;FALSE;0,00%
huge;174-Randomized_edges-0.25-lshp_778.hwb;1;;;;;-50,00%;3;490;600;FALSE;HxSolutionStatus.FEASIBLE;100,00%;6;0;603,353;FALSE;250,00%;1,029;557;600;FALSE;0,00%
huge;182-Randomized_edges-0.25-nos2.hwb;0;;;;;0,00%;2;1;600;FALSE;HxSolutionStatus.FEASIBLE;200,00%;2;0;632,466;FALSE;200,00%;0,957;160;160;TRUE;0,00%
huge;187-Randomized_edges-0.25-nos7.hwb;1;;;;;-50,00%;3;50;600;FALSE;HxSolutionStatus.FEASIBLE;100,00%;4;0;646,89;FALSE;150,00%;1,007;508;600;FALSE;0,00%
huge;230-Randomized_edges-0.5-bcsstk19.hwb;4;;;;;-80,00%;7;303;600;FALSE;HxSolutionStatus.FEASIBLE;60,00%;9;658;659,871;FALSE;100,00%;4,006;519;600;FALSE;0,00%
huge;2500soc-sign-epinions.txt;62;;;;;-98,41%;62;527;600;FALSE;HxSolutionStatus.FEASIBLE;0,00%;299;607;635,899;FALSE;376,19%;98,0001;528;601;FALSE;57,14%
huge;255-Randomized_edges-0.5-dwt__758.hwb;2;;;;;-66,67%;6;1;600;FALSE;HxSolutionStatus.FEASIBLE;133,33%;6;455;609,201;FALSE;133,33%;2,066;501;605;FALSE;0,00%
huge;256-Randomized_edges-0.5-dwt__878.hwb;3;;;;;-75,00%;5;199;600;FALSE;HxSolutionStatus.FEASIBLE;50,00%;8;0;674,921;FALSE;125,00%;3,002;557;600;FALSE;0,00%
huge;267-Randomized_edges-0.5-gr_30_30.hwb;3;;;;;-75,00%;5;237;600;FALSE;HxSolutionStatus.FEASIBLE;50,00%;8;0;657,108;FALSE;125,00%;3,011;475;600;FALSE;0,00%
huge;280-Randomized_edges-0.5-lshp_778.hwb;1;;;;;-50,00%;4;1;600;FALSE;HxSolutionStatus.FEASIBLE;150,00%;4;74;644,36;FALSE;150,00%;1,091;564;600;FALSE;0,00%
huge;288-Randomized_edges-0.5-nos2.hwb;0;;;;;0,00%;2;1;600;FALSE;HxSolutionStatus.FEASIBLE;200,00%;2;0;622,667;FALSE;200,00%;0,957;187;187;TRUE;0,00%
huge;336-Randomized_edges-0.75-bcsstk19.hwb;2;;;;;-66,67%;6;7;600;FALSE;HxSolutionStatus.FEASIBLE;133,33%;8;267;633,284;FALSE;200,00%;2,027;216;600;FALSE;0,00%
huge;361-Randomized_edges-0.75-dwt__758.hwb;1;;;;;-50,00%;4;137;600;FALSE;HxSolutionStatus.FEASIBLE;150,00%;6;58;715,289;FALSE;250,00%;1,073;382;600;FALSE;0,00%
huge;362-Randomized_edges-0.75-dwt__878.hwb;2;;;;;-66,67%;5;293;600;FALSE;HxSolutionStatus.FEASIBLE;100,00%;6;81;637,054;FALSE;133,33%;2,008;595;600;FALSE;0,00%
huge;373-Randomized_edges-0.75-gr_30_30.hwb;2;;;;;-66,67%;4;231;600;FALSE;HxSolutionStatus.FEASIBLE;66,67%;6;87;611,553;FALSE;133,33%;2,01;410;600;FALSE;0,00%
huge;386-Randomized_edges-0.75-lshp_778.hwb;1;;;;;-50,00%;3;31;600;FALSE;HxSolutionStatus.FEASIBLE;100,00%;4;59;604,927;FALSE;150,00%;1,002;492;600;FALSE;0,00%
huge;394-Randomized_edges-0.75-nos2.hwb;0;;;;;0,00%;2;1;600;FALSE;HxSolutionStatus.FEASIBLE;200,00%;2;0;630,764;FALSE;200,00%;0,957;71;71;TRUE;0,00%
huge;399-Randomized_edges-0.75-nos7.hwb;1;;;;;-50,00%;3;5;600;FALSE;HxSolutionStatus.FEASIBLE;100,00%;4;0;615,251;FALSE;150,00%;1,001;274;600;FALSE;0,00%
huge;442-Randomized_vertices-0.15-bcsstk19.hwb;0;;;;;0,00%;2;32;600;FALSE;HxSolutionStatus.FEASIBLE;200,00%;6;257;659,496;FALSE;600,00%;0,817;1;1;TRUE;0,00%
